[d=11 shard 2/7] 5000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 134s
[d=11 shard 2/7] 10000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 254s
[d=11 shard 2/7] 15000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 363s
[d=11 shard 2/7] 20000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 469s
[d=11 shard 2/7] 25000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 578s
[d=11 shard 2/7] 30000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 689s
[d=11 shard 2/7] 35000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 794s
[d=11 shard 2/7] 40000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 895s
[d=11 shard 2/7] 45000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 999s
[d=11 shard 2/7] 50000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1109s
[d=11 shard 2/7] 55000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1224s
[d=11 shard 2/7] 60000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1340s
[d=11 shard 2/7] 65000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1460s
[d=11 shard 2/7] 70000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1573s
[d=11 shard 2/7] 75000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1681s
[d=11 shard 2/7] 80000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1749s
[d=11 shard 2/7] 85000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1851s
[d=11 shard 2/7] 90000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1965s
[d=11 shard 2/7] 95000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2083s
[d=11 shard 2/7] 100000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2203s
[d=11 shard 2/7] 105000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2319s
[d=11 shard 2/7] 110000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2428s
[d=11 shard 2/7] 115000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2531s
[d=11 shard 2/7] 120000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2667s
[d=11 shard 2/7] 125000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2779s
[d=11 shard 2/7] 130000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2886s
[d=11 shard 2/7] 135000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2984s
[d=11 shard 2/7] 140000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3086s
[d=11 shard 2/7] 145000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3182s
[d=11 shard 2/7] 150000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3252s
[d=11 shard 2/7] 155000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3322s
[d=11 shard 2/7] 160000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3398s
[d=11 shard 2/7] 165000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3457s
[d=11 shard 2/7] 170000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3517s
[d=11 shard 2/7] 175000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3575s
[d=11 shard 2/7] 180000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3635s
[d=11 shard 2/7] 185000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3729s
[d=11 shard 2/7] 190000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3833s
[d=11 shard 2/7] 195000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 3937s
[d=11 shard 2/7] 200000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4039s
[d=11 shard 2/7] 205000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4164s
[d=11 shard 2/7] 210000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4273s
[d=11 shard 2/7] 215000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4369s
[d=11 shard 2/7] 220000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4448s
[d=11 shard 2/7] 225000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4526s
[d=11 shard 2/7] 230000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4604s
[d=11 shard 2/7] 235000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4685s
[d=11 shard 2/7] 240000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4774s
[d=11 shard 2/7] 245000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4853s
[d=11 shard 2/7] 250000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 4937s
[d=11 shard 2/7] 255000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5015s
[d=11 shard 2/7] 260000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5092s
[d=11 shard 2/7] 265000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5171s
[d=11 shard 2/7] 270000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5253s
[d=11 shard 2/7] 275000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5319s
[d=11 shard 2/7] 280000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5384s
[d=11 shard 2/7] 285000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5446s
[d=11 shard 2/7] 290000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5507s
[d=11 shard 2/7] 295000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5567s
[d=11 shard 2/7] 300000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5615s
[d=11 shard 2/7] 305000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5662s
[d=11 shard 2/7] 310000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5709s
[d=11 shard 2/7] 315000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5756s
[d=11 shard 2/7] 320000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5802s
[d=11 shard 2/7] 325000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 5849s
